Topic,Count,Name,Representation,Representative_Docs_x,Representative_Docs_y
-1,1129,-1_students_food_work_help,"['students', 'food', 'work', 'help', 'pay', 'housing', 'provide', 'make', 'staff', 'college']","['healthier options amazing. having affordable, healthier food options expensive. unm worked state students easily qualify food stamps school takes time away work (and classes peak work days hours). make snap benefits state level easier college students. tried couple years food stamps qualified, affording food stressful. single makes harder qualify single parent family, population needs help, too. country college education privilege obstacles.', ""honestly don't think there's college help. issues larger address. high food prices, health costs, vehicle costs, home costs...... can't afford live anymore. make 45k year single kids broke day life. make qualify assistance can't afford pay bills feed kids."", 'offer free low-cost healthy food options campus. offer lower cost student housing options.']","['prices up; anxiety goes up.', 'lack focus worry finding place stay wear welcome brothers home.', 'worrying healthy food cause distracted work', 'falta concentration y participacion, disponibilidad.', 'affects ability job well, mood carry work duress situation impacts work environment.']"
0,588,0_bod_share__,"['bod', 'share', '', '', '', '', '', '', '', '']","['', '', '']","['t', 'n', 'c', '?', '?']"
1,130,1_housing_fe_santa_campus,"['housing', 'fe', 'santa', 'campus', 'dorms', 'dorm', 'student', 'students', 'faculty', 'affordable']","['campus housing?', 'offer affordable healthy food options. build dorms students families. offer affordable housing students near campus.', ""offer regular food service discounted (affordable)and/or free meals. loss cental food services left feeling isolated students leave campus soon class over, longer place visit friends eat regular basis. state need address solutions: coverage tuition, fees books free funding living expenses. housing needs addressed city state. dorms usually considered community colleges, think sfcc offer limited dormitories students required spend large amounts time person campus nursing students. think worth exploring nearby iaia campus dorm rooms available sfcc students, we'd need funds help students expenses. helpful emergency funds available students need move, etc. offer limited funds sfcc foundation, don't think authorized amounts needed pay month's deposit evicted. also, state assist offering covered affordable health insurance employees free money food housing expenses. general, rental options expensive limited. santa fe seniors waiting list housing assistance years. young people access inexpensive housing options. santa fe slowly community poor middle class live.""]","['moment, soon graduating, longer able stay campus housing.', 'housing cost makes difficult mid-level professional. roommates household advanced degrees stable income, canâ€™t afford live own.', 'unable residence closer campus drive long distances work.', 'thought going move, income did measure current rental prices santa fe. wondered retiring school getting new job better total income help by, here. idea higher-paid position; retirement income plus job.', ""housing situation ideal. i'm currently living dad husband going school albuquerque living mom. afford pay rent he's going school.""]"
2,121,2_campus_options_healthy_food,"['campus', 'options', 'healthy', 'food', 'affordable', 'machines', 'offer', 'option', 'bar', 'provide']","['food options campus', 'affordable, healthy food options campus', 'campus options food.']","['having healthy food campus inconvenient healthy fast food options near campus. time classes eat, long stretches snack vending machines. students stuck campus option either.', 'none, nice food campus.', ""forget bring lunch, don't coffee shop campus closes, there's options campus food vending machines/snacks."", 'previously stated, food campus major inconvenience drain time resources', 'inability quickly obtain good healthy foods campus.']"
3,111,3_rent_housing_home_worry,"['rent', 'housing', 'home', 'worry', 'afford', 'mortgage', 'house', 'able', 'rental', 'bills']","['housing affects food, costs going up. current housing healthy emotionally, canâ€™t afford rent buy right now. think stress home work makes hard focus.', ""renting small space lack larger homes rent prices buy home gone significantly. work 2 days/week home, don't adequate office space home lose focus working home. work 5 days/week, desk chair big need ergonomic set-up home."", 'worry rent']","['housing stresses daily basis think cost rent vs living house. wanting live home causes stress think work causes productive.', ""can't come work can't afford gas order pay rent"", ""just worry won't able make mortgage payment"", 'concerned moving state lack social contact people.', 'worry able afford place costs rates control.']"
4,92,4_pantry_food_continue_gallup,"['pantry', 'food', 'continue', 'gallup', 'accessible', 'hours', 'expand', 'use', 'people', 'open']","['food pantry', 'food pantry', 'food pantry.']","['need live gallup work gallup.', 'leave work food pantry, embarrassing excuse leave.', 'food pantry cosmo cares good assistance.', ""pay fair livable wage. don't want need pantry. educated professional, able live comfortably children. pay fair wages, period."", 'dacc opening food pantry today, wednesday, february 15, 2023']"
5,75,5_options_healthy_choices_food,"['options', 'healthy', 'choices', 'food', 'inexpensive', 'meal', 'expensive', 'foods', 'cheaper', 'eat']","['food options', 'food options', 'provide healthy inexpensive food options/choices']","['right doing great food thank god.', 'eating healthy issue', 'food expensive', 'healthy food choices available create need eat unhealthily', 'plan ahead eat nutritious foods.']"
6,61,6_insecurity_housing_insecure_food,"['insecurity', 'housing', 'insecure', 'food', 'experiencing', 'community', 'address', 'issue', 'insecurities', 'currently']","['food housing insecurity', 'food housing insecurity.', 'food housing insecurity.']","['employed, housing food insecurity.', 'food housing insecurity.', 'experiencing food housing insecurity.', 'food housing insecure.', 'sure food situation. housing non-issue.']"
7,51,7_survey_thank_hope_answers,"['survey', 'thank', 'hope', 'answers', 'important', 'you', 'results', 'research', 'appreciate', 'conducting']","['thank survey.', 'thank survey', 'thank survey.']","['emails correct headings', ""i'm glad survey look forward seeing results"", 'wish best luck survey helping communities. thanks,', ""i'm saddened survey necessary. better care other. peace"", 'thank doing survey!']"
8,51,8_na_virtually_ninguna_ni,"['na', 'virtually', 'ninguna', 'ni', 'nada', 'jonen', 'afectan', 'work', '', '']","['na', 'na', 'na']","['na', 'na', 'na', 'na', 'na']"
9,50,9_insecurity_students_housing_help,"['insecurity', 'students', 'housing', 'help', 'food', 'opportunities', 'aid', 'address', 'insecurities', 'security']","['provide opportunities students learn programs help food housing insecurity.', 'colleges universities help address food housing insecurity ways. include providing emergency food housing assistance, increasing access affordable housing, providing free food pantries, offering education programs help students better manage finances. additionally, schools partner outside organizations provide students additional resources, legal aid mental health support.', ""food pantry college students utilize feel students feel shame asking help feel like anybody general. housing insecurity, students live campus nature having pass classes financial aid requirement live campus, students wait minute ask type assistance end homeless lost privilege stay dorms. local homeless shelter large house struggling place stay that's problem. there's plenty churches built town farmington, willingness build homeless shelter won't abuse help get.""]","['personally, students need help food housing.', 'work housing operations coordinator, handle *lot* students impacted food housing insecurity.', 'food housing security affect student participation program direct campus.', 'food housing insecurity affect students know when.', 'impacts work, impacts students. students experiencing food housing insecurity need supports instructor / supervisor.']"
10,49,10_higher_employees_pay_wages,"['higher', 'employees', 'pay', 'wages', 'livable', 'wage', 'raises', 'compensated', 'discriminatory', 'employers']","['higher wages', 'higher wages.', 'pay higher wages.']","['simply, need paid position.', 'personally... hire full-time.', 'higher wages', 'pay higher hourly wages make ends meet.', 'offer higher wages.']"
11,49,11_free_students_breakfast_faculty,"['free', 'students', 'breakfast', 'faculty', 'meal', 'provide', 'meals', 'lunch', 'collar', 'classes']","['provide free faculty breakfast, lunch dinner, free faculty housing, solve worries faculty.', 'provide free food students', 'provide free meals students']","['hungry students everyday try healthy snacks office have.', 'spend $200 300 semester bringing fruit, healthy snacks treats classes know students hungry help stay focused.', 'free nutritious meals faculty help', 'personally worry students. groceries expensive limit choose skimp cover expenses.', 'cooking classes, budget classes (community based)']"
12,49,12_no_nonsense_approved_gone,"['no', 'nonsense', 'approved', 'gone', 'yes', 'it', '', '', '', '']","['no.', 'no.', 'no.']","['yes...', 'no.', 'no.', 'no.', 'no.']"
13,45,13_resources_students_information_support,"['resources', 'students', 'information', 'support', 'reach', 'academic', 'emails', 'services', 'email', 'staff']","['awareness lobopantry - aware pandemic. continue raising visibility faculty resources support students. consider fragmentation information jnmâ€™s website lead missed opportunities support students. consider ux designer consult website.', 'resources students', 'students left dark resources meant them. struggling way word services resources like food pantry. ahve tried class visits, posting canvas, emails, etc. students unaware.']","['students miss class work care family members help homes.', 'lot students outside jobs support present (mentally physically) class.', 'work students resources them.', 'just continue address problem. try reach students need.', 'help students staff']"
14,45,14_pantry_campus_food_main,"['pantry', 'campus', 'food', 'main', 'campuses', 'donations', 'nmsu', 'somewhat', 'collaborate', 'lobos']","['display signage shows individuals locate food pantry welcoming message: having busy day? need snack/bite food later, stop campus food pantry (with map), got back! open campus community time, judgement questions asked. lobos look lobos.', 'food pantry campus', 'campus food pantry']","['advertisement campus food pantry options available apartments', 'lessen restrictions campus food pantry use', 'campus introduced food pantry community garden start. think getting new vendor snack bar provide healthy affordably priced meals entire day, helpful too.', ""campus provide food, it's free low cost. campus does food pantry, available twice month requires nmsu id number. students said comfortable pantry does require id seeing grab need pantry."", 'westside campus needs food pantry opened longer days week. advertise more.']"
15,43,15_not_ok_can_,"['not', 'ok', 'can', '', '', '', '', '', '', '']","['not.', 'not.', 'not.']","['not.', 'not.', 'not.', 'not.', 'not.']"
16,41,16_time_12_10_timing,"['time', '12', '10', 'timing', 'aug', '121', 'oct', 'coordinate', 'comment', 'concerns']","['time', 'time.', 'time']","['time, past', 'time', 'work time.', 'time.', 'times']"
17,36,17_worry_impacts_students_class,"['worry', 'impacts', 'students', 'class', 'affects', 'succeed', 'personally', 'greatly', 'effects', 'ability']","['worry students.', 'impacts students ability fully engage classes learn', 'worry students. does affect personally.']","['itâ€™s really affecting personally, occasionally students affected it, end struggling classes.', 'does directly affect me. affects students adjuncts work disturbing.', ""think reviews comparing assignments grading safe kids live? knowing temparary didn't make easier."", 'directly impacts students makes job harder stressful', 'affects students']"
18,36,18_prefer_answer_say_suggestions,"['prefer', 'answer', 'say', 'suggestions', 'mind', 'previous', 'idea', 'ideas', 'let', 'thought']","['prefer say', 'prefer answer.', 'prefer answer']","['try let', ""don't let"", 'prefer say', 'prefer answer', 'previous answer']"
19,35,19_doesn_not_does_myself,"['doesn', 'not', 'does', 'myself', 'problems', 'say', 'let', 'don', 'really', 'care']","[""doesn't"", ""doesn't"", ""doesn't.""]","[""doesn't"", ""doesn't"", 'does not.', ""doesn't, care say don't let it."", ""doesn't""]"
20,34,20_increase_raise_salaries_salary,"['increase', 'raise', 'salaries', 'salary', 'pay', 'wages', 'raises', 'regular', 'new', 'advance']","['increase pay', 'increase pay', 'increase pay']","['raise pay', 'increase salaries', 'increase wages? payscale change great retroactive', 'increase pay', 'additional pay help offset']"
21,32,21_itâ_doesnâ_hasnâ_isnâ,"['itâ', 'doesnâ', 'hasnâ', 'isnâ', 'theyâ', 'iâ', 'doesâ', 'awarnes', 'ache', 'çš']","['itâ€™s', 'itâ€™s', 'itâ€™s']","['itâ€™s hard concentrate hungry head ache eating', 'just doesâ€¦', 'doesnâ€™t', 'hasnâ€™t, manage.', 'doesnâ€™t']"
22,32,22_hungry_eat_tired_iâ,"['hungry', 'eat', 'tired', 'iâ', 'hunger', 'feed', 'candy', 'passion', 'curb', 'severly']","['hungry', 'hungry', 'hungry']","[""i'm hungry job"", 'b hungry work', 'days hungry. just concentrate little stuff done.', 'tired hunger', 'hungry...tired']"
