Topic,Count,Name,Representation,Representative_Docs
-1,74,-1_food_thank_housing_need,"['food', 'thank', 'housing', 'need', 'students', 'survey', 'help', 'unm', 'hope', 'health']","[""some students have indicated that the meal plan they pay for is problematic because they can't use it due to closing hours (many of them work) or that they don't find the food options worth what they pay. this leads them to pay for a meal plan because they are required to do so and still seek other food options, which are often less healthy since they can't cook in the dorms."", 'there is a lot of need among our students.  i have made down-payments for students to secure an apartment, given students money for food, to pay a phone bill, etc.  i have found that my male students experiencing food, house insecurity, or homelessness have less support than other students.', ""i appreciate that this survey exists. i think the public transportation piece is really important. we were excited about the blue bus, but haven't heard any updates. is that still happening? it would be great if we could have a unm-taos shuttle that goes into town. it would be great advertising for unm-taos and could maybe even increase enrollment.""]"
0,50,0_pay_inflation_faculty_work,"['pay', 'inflation', 'faculty', 'work', 'employees', 'raise', 'time', 'salaries', 'staff', 'health']","[""when i first started as an adjunct instructor i wasn't allowed to teach more than 12hrs a week, so my take home salary was very low the first year. so low, i had to live with my parents the first year. then when we hired the new instructor, he got full-time employee pay right from the beginning, when i had to struggle my first year working for unm. it was really unfair."", 'in one of the text boxes i explained this but i want to share it here so it is obvious. i\'m temporary part-time faculty but i\'m working over ""full-time"". i work more than a full-time employee (depending on the semester). this semester i\'m 108% employed. despite this insane amount of work, i make very little, worry about saving for retirement, don\'t have any job security, don\'t have reliable benefits, and feel my only option to make this work is to live with my parents and eat their food.', ""when inflation hit, my rent, groceries, and utilities started going on credit cards.  with inflation still above 6% and faculty's 2022 raise at 4%, i am losing income by continuing to work at sfcc.  i'm sure any raise in 2023 will also mimic last year, being under 5% for faculty, and administrators will receive at least 10%, so that any legal requirements imposed can be met, such as a 7% average across the institution.""]"
1,27,1_food_campus_pantry_food pantry,"['food', 'campus', 'pantry', 'food pantry', 'nice', 'students', 'need', 'free', 'day', 'cnm']","['it would be nice to have a space at campus where students can comfortably sit, eat and socialize. there is places they can sit but it is very sterile feeling. as a commuter college it is sometimes to have places like this for students that have to stay on campus all day before they have a ride back to their house.', 'biology has a food pantry because we found that students are hungry during the day, so we provide a place for them to grab a bite during the day or take home something for supper.  we are aware that hunger is an issue and we are trying to do a little to alleviate that situation for those who need it.', 'during the pandemic, several organizations (e.g., afsc) arranged to purchase produce from many small growers in albuquerque for distribution through food banks. could this model be extended to universities to support the consumption of healthy foods by student populations? in addition to paying service providers to run fast food restaurants on campus, could a portion of the budget be used to support local farmers and subsidize the cost of fresh produce on campuses?']"
2,25,2_survey_thank_thank survey_survey thank,"['survey', 'thank', 'thank survey', 'survey thank', 'long', 'survey hope', 'doing survey', 'hope', 'thanks', 'thank doing']","['thank you for this survey.', 'thank for this survey', 'thank you for the survey.']"
3,22,3_students_campus_help_education,"['students', 'campus', 'help', 'education', 'cared', 'needs', 'safety', 'staff', 'provide', 'like']","['much more needs to be done to help students, especially graduate students who are barely making ends meet. there should also be more and more secure/in better shape housing options in the town that houses the university so that more people feel comfortable choosing to live close to campus.', 'each state should provide a totally free on-demand/online option for earning a college degree.  the khan academy, for example, provides subject-matter lessons that are totally free, are available on demand, and are mostly far better at conveying useful information than in-class courses available at practically any of our public universities.', ""our motto is icare which couldn't be further from the truth.  administration tries to run the college like a business and only cares about the almighty $$$.  they are so anti-employee and anti-faculty which impacts the entire campus.  if they truly cared about our students, they would provide more food resources for our students and more assistance in other areas. when our students can't find housing, our student achievement center hands the student a piece of paper with numbers for apartment complexes.  if they cared, they would actually make phone calls, it would show they cared.  i also would like to see some temporary emergency housing offered for our students.""]"
4,14,4_research_thank_important_doing,"['research', 'thank', 'important', 'doing', 'doing thank', 'thank work', 'need', 'thanks', 'thank doing', 'work']","['i hope that your research is able to bring data to san juan county. it is needed.', ""i appreciate this research being done as it's an important issue that affects so many people (more than we possibly realize as there's shame around talkng about it)"", 'thank you for the work on this important research. i hope it ends up helping those who are truly in need.']"
5,13,5_don_say_121 don_want say,"['don', 'say', '121 don', 'want say', 'tired don', 'tired', 'say tired', 'ni jonen', 'ni', 'jonen don']","[""don't"", ""i don't have anything else to say."", ""don't want to say""]"
6,9,6_housing_expensive_food_food housing,"['housing', 'expensive', 'food', 'food housing', 'care', 'income', 'help adult', 'help kids', 'monthly doubled', 'level served']","['i have two adult children living with me over 18 because housing and food is very expensive. they are both still in college and i am helping them through it all as a single parent.', ""even though i didn't have food or housing insecurities in the past 12 months, i had to go frugal on my household utilities as the the monthly bill has doubled."", ""i am aware of various social programs, but i always seem to be just above the income level that can be served, yet my income doesn't really allow me to provide as well as i would like to when it comes to healthy food options and medical care.""]"
7,8,7_thank thank_thank_thank good_good thank,"['thank thank', 'thank', 'thank good', 'good thank', 'thanks thank', 'thanks', 'good', '', '', '']","['thank you', 'thank you!', 'thank you']"
8,8,8_hope_better_life_harder,"['hope', 'better', 'life', 'harder', 'hope baby', 'country stable', 'food live', 'country', 'getting harder', 'things getting']","['things are getting harder for everyone. i am still one of the lucky ones.', 'i hope the country will be stable and pay more attention to our groups', 'i hope we can all eat healthy food and live in a safe house']"
