# 
#     Column Definitions:
#     - Total Potential Responses: All survey participants, including those who left the question blank.
#     - Non-empty Responses: All responses that are not null or empty string.
#     - Informative Responses: Responses that are not classified as non-informative (e.g., not "N/A", "No comment", etc.).
#     - Response: Individual informative responses, with each response on a separate row.
#     
"Question","Institution","Total Potential Responses","Non-empty Responses","Informative Responses","Response"
"How is food or housing insecurity affecting your work?","Central New Mexico Community College","310","110","103","No"
"","","","","","Prices go up; anxiety goes up."
"","","","","","Its not impacting my work"
"","","","","","Not much at this time"
"","","","","","i try not to let it"
"","","","","","I work multiple jobs to be able to pay the bills and be sole support of my child"
"","","","","","Only insofar as I know my students deal with these issues, so it impacts how I teach."
"","","","","","not "
"","","","","","Makes me miserable, feels worthless and incompetent, like why did I earn a Master's and MFA degree not to be able to support myself or my family, sometimes makes me suicidal."
"","","","","","Moved in with fiance, now commute is much longer"
"","","","","","Currently, I am secure with food and housing - though I worry about the rent possibly being increased, and I dislike that in order to have healthy food on campus, I need to prepare and cook it myself ahead of time as the options on campus seem very limited."
"","","","","","no"
"","","","","","t is not"
"","","","","","does not affect"
"","","","","","Normal stresses about not being assigned enough courses to teach and having enough saved for retirement."
"","","","","","It thankfully is not."
"","","","","","not"
"","","","","","Healthy food choices not available create a need to eat unhealthily "
"","","","","","It is not affecting my work."
"","","","","","I do not eat healthy because I cannot afford to so I am tired from the food I eat while at work. I also have stomach problems because of it not to mention the stress."
"","","","","","Not affected"
"","","","","","Not at all"
"","","","","","Makes me take on a heavier workload to counter inflation and rising costs and make ends meet."
"","","","","","not at all"
"","","","","","Not at all"
"","","","","","it's not"
"","","","","","it's not"
"","","","","","Its not."
"","","","","","A lot of my students have too many outside jobs to support themselves to be present (mentally and physically) in class."
"","","","","","Not affecting my work. "
"","","","","","Not at all"
"","","","","","Not affecting"
"","","","","","It isn't"
"","","","","","Purchasing healthy items/Nutrition information/"
"","","","","","This is primarily resolved, but when it was a concern, I missed several days of work."
"","","","","","It is not."
"","","","","","work hungry sometimes "
"","","","","","It isn't"
"","","","","","It slows me down in performing tasks. "
"","","","","","It's not."
"","","","","","the stress can be depressing and cause me to have poor concentration and anxiety"
"","","","","","Has not. "
"","","","","","would rather not comment."
"","","","","","I'm anxious and depressed, so that affects my work. Also, when I have to teach and work other jobs. I'm exhausted and not as good of a teacher as I'd like to be."
"","","","","","It isn't now but was at the beginning of the 12 month period before taking a better job."
"","","","","","not"
"","","","","","No insecurity"
"","","","","","Iâ€™m always counting down to payday which creates stress and anxiety"
"","","","","","It's not"
"","","","","","no"
"","","","","","No "
"","","","","","It has not affected my work."
"","","","","","Inflation"
"","","","","","I realize that I should just get another job. I cannot be the best instructor that I need to be when I cannot pay the bills. If instructors teach 5 classes like I do, I should be paid well enough to support my family."
"","","","","","I choose to teach more classes based on my income and bills"
"","","","","","The economic difficulties I have could be much worse, but they still concern me and I feel distracted from my job and other things I have to do."
"","","","","","I'm ok"
"","","","","","The problem of food safety will directly affect my work"
"","","","","","Food affects the body.Housing insecurity affects psychology,Thereby affecting work."
"","","","","","Always competing to get full time work to rise above the cost of living since Covid changed everything. "
"","","","","","I have no food or housing insecurity."
"","","","","","I find myself stressing and more on edge "
"","","","","","I didn't have enough rest and could not concentrate"
"","","","","","Don't want to work as hard and do extra assignments due to always being under paid."
"","","","","","Students are more frequently moving/housing insecure and it affects their ability to focus on school."
"","","","","","No effect."
"","","","","","It isn't"
"","","","","","it's depressing "
"","","","","","It is not."
"","","","","","Not at all"
"","","","","","Mi trabajo no esta afectado, pero me afecta la inseguridad de mi comunidad; especialmente a los que sirvo todos los dias."
"","","","","","It affects my students greatly. "
"","","","","","It is not. "
"","","","","","it is currently not affecting my work"
"","","","","","It is inconvenient at times not to have a safe place to rest or work."
"","","","","","It isnâ€™t "
"","","","","","Often work longer hours to provide enough income to support family."
"","","","","","Not at all"
"","","","","","Not at all"
"","","","","","It is not"
"","","","","","Not engaged,"
"","","","","","No"
"","","","","","It does not affect me. "
"","","","","","Not at all"
"","","","","","Unsafe food and unsafe housing would make me panic every day"
"","","","","","My students are more often food and housing insecure than they were before the pandemic."
"","","","","","makes to hard to bring lunch and beverages"
"","","","","","does not"
"","","","","","It's not."
"","","","","","It does not."
"","","","","","free nutritious meals for faculty would help"
"","","","","","I am secure"
"","","","","","Neither is affecting my work. "
"","","","","","There is concern about meeting monthly bills with the increase in prices for utilities, food, gas, and housing. That can disrupt being as productive as I normally would be.   "
"","","","","","it is not"
"","","","","","It doesn't affect my work at this time. "
"","","","","","I try at all costs to not let it affect work"
"","","","","","I worry about my students."
"","","","","","Necesito trabajar mas"
"","","","","","For me, not at all.  But my daughters are students and low-wage earners living on their own.  Their insecurity weighs on me--as does my students' ."
"","","","","","hard to focus on tasks"
"","","","","","It is not."
"","","","","","It is not"
"How is food or housing insecurity affecting your work?","Clovis Community College","62","18","15","Sometimes when I am sick I still go to work cause I am scared to miss a day so I can afford to keep a roof over my head and groceries. I know I have PTO but only want to use it when things occur such as if my husband or daughter might be in the hospital
"
"","","","","","It is not currently affecting my work or situation."
"","","","","","It does not affect it."
"","","","","","no"
"","","","","","Never "
"","","","","","Stress keeps me from doing my best. "
"","","","","","Thinking about food and housing is just part of the current dismal economy for me. I am still able to work."
"","","","","","Not really affecting me yet."
"","","","","","just try to work more, "
"","","","","","Not much impact"
"","","","","","Food and housing are unsafe, which reduces my study and work efficiency"
"","","","","","It's not. "
"","","","","","It is not."
"","","","","","Our rental/mortgage and food prices are too high. "
"","","","","","If we could work from home on Friday maybe could ease the burden of worrying about gas so much and put that money being saved trowards food! Our college dose not do much business on Friday!!!!"
"How is food or housing insecurity affecting your work?","DinÃ© College","26","8","7","It doesn't"
"","","","","","no"
"","","","","","no"
"","","","","","It could be negatively impacting the performance of students."
"","","","","","Not at all"
"","","","","","anxious,"
"","","","","","Distracted, feeling pressed upon by administration, frustrated with inflation and no raises in 3 years. "
"How is food or housing insecurity affecting your work?","Dona Ana Branch Community College","43","21","18","Right now am doing great food thank God."
"","","","","","not at all"
"","","","","","My students sometimes miss class because they have to work or to take care of family members to help out in their homes."
"","","","","","Not at all. "
"","","","","","Not at the moment, but very soon as we will be graduating, and no longer able to stay in campus housing."
"","","","","","Tired of working but it's gotta get done"
"","","","","","No"
"","","","","","I don't have food or housing insecurity, and it won't affect me."
"","","","","","N.A"
"","","","","","I don't own a house. I share it with friends"
"","","","","","increases my stress level all day long, even at work"
"","","","","","It is not"
"","","","","","No"
"","","","","","Food and shelter did not affect my life, because I did not want."
"","","","","","not"
"","","","","","It is not."
"","","","","","Does not affect."
"","","","","","Lack of food, resulting in a lack of concentration at work"
"How is food or housing insecurity affecting your work?","Eastern New Mexico University, Portales","37","13","11","Food and housing are too expensive to afford"
"","","","","","c"
"","","","","","It's not."
"","","","","","Sometimes tired"
"","","","","","I do not suffer from food insecurity"
"","","","","","Neither affect my work."
"","","","","","Can cause anxiety"
"","","","","","It does not."
"","","","","","it is not"
"","","","","","It is not"
"","","","","","I worry about food quality"
"How is food or housing insecurity affecting your work?","Eastern New Mexico University, Roswell","61","22","16","Sometimes I lack focus because I worry about not finding a place to stay when I wear out my welcome at brothers home."
"","","","","","Mental stress "
"","","","","","Low income"
"","","","","","It affects my ability to do my job well, and the mood I carry with me to work while under duress from this situation impacts the work environment."
"","","","","","these things affect my work in many different ways, i'm cranky because i dont eat in the morning, which affects my teaching and focus. My home is old and has no insulation, so sleep is difficult due to the cold and it is difficult to keep our home heated every winter, which makes for high electrical bills that i really cant afford, so we go without food, proper heat and proper clothing"
"","","","","","tired from hunger"
"","","","","","Affects my students sometimes "
"","","","","","No such concerns for the time being"
"","","","","","Have no effect"
"","","","","","No at present"
"","","","","","No job is requested if prices rise"
"","","","","","Not affecting jt"
"","","","","","no"
"","","","","","A moderate amount"
"","","","","","I am not experiencing food or housing insecurity."
"","","","","","Im hungry now"
"How is food or housing insecurity affecting your work?","Eastern New Mexico University, Ruidoso","24","11","9","no"
"","","","","","no"
"","","","","","no"
"","","","","","never"
"","","","","","Poorly"
"","","","","","not affecting it"
"","","","","","The food, the housing, the insecurity, it all affects the work"
"","","","","","Not at all"
"","","","","","Client Accessibility: Difficulty reaching out to the client base due to limited resources or the lack of transportation options that may prevent clients from seeking services."
"How is food or housing insecurity affecting your work?","Institute of American Indian Arts, Santa Fe","28","15","15","I get hungry...tired"
"","","","","","It doesn't, care to say I don't let it."
"","","","","","Eating healthy is an issue "
"","","","","","Not "
"","","","","","Stress combined with existing and worsening medical conditions has made getting through work responsibilities impossible sometimes"
"","","","","","Be harassed"
"","","","","","I have a job I need I don't let it affect my position"
"","","","","","It makes me feel insecure at work"
"","","","","","If the house I live in is not safe now, I will choose to move out to find another place, so it may cause my residence to be remote from my job location and affect my working hours."
"","","","","","The insecurity of food and housing made me very anxious. I often couldn't fall asleep at night and was mentally tired during the day's work."
"","","","","","It affects my class preparation and class status"
"","","","","","May not be able to continue working at my campus.
Lately I'm very distracted and panicky."
"","","","","","It is not. "
"","","","","","It is not"
"","","","","","It doesn't."
"How is food or housing insecurity affecting your work?","Luna Community College","36","17","15","It isn't currently affecting my work."
"","","","","","I am buying food and drinks for students since our campus does not have a cafeteria. "
"","","","","","no"
"","","","","","it is not"
"","","","","","Food safety problem"
"","","","","","no"
"","","","","","Make it little harder to work without food."
"","","","","","It doesn't matter to me now, okay"
"","","","","","It is not"
"","","","","","Make me stressed."
"","","","","","The timing"
"","","","","","Housing is safe and food is plentiful"
"","","","","","Having hungry and tired students in class"
"","","","","","Comparative impact"
"","","","","","I don't have a place of my own"
"How is food or housing insecurity affecting your work?","Mesalands Community College","22","8","5","My housing insecurity is related to too much crime not lack of being able to afford housing."
"","","","","","Lack of housing is a strain on faculty & students, because they then have to worry about their home life being chaotic or uncomfortable. "
"","","","","","It does not."
"","","","","","Does not"
"","","","","","No"
"How is food or housing insecurity affecting your work?","Navajo Technical University, Crownpoint","25","12","9","It just doesâ€¦"
"","","","","","I work to secure my daily food. Without work, I will suffer from food insecurity"
"","","","","","Every day I cannot concentrate at work and think about what will I be able to take home from events at work that have food without people seeing."
"","","","","","no"
"","","","","","I have to plan ahead to eat nutritious foods."
"","","","","","It doesn't!"
"","","","","","A lot."
"","","","","","I feel constant, unrelenting stress about having enough food and paying bills. "
"","","","","","no"
"How is food or housing insecurity affecting your work?","New Mexico Highlands University","34","15","14","Not"
"","","","","","it is not"
"","","","","","it's not"
"","","","","","normally it doesn't, it is not the main concern I have in terms of the questions asked. fluctuations in bills sometimes cause stress, but I work hard to budget and cut back if needed."
"","","","","","I get tired when I don't eat enough."
"","","","","","Not affecting at all"
"","","","","","It is not."
"","","","","","It is my motivator to keep working, to maintain a job to earn money and be able to provide. "
"","","","","","stress"
"","","","","","Makes me worry about what to eat."
"","","","","","I worry about my students, colleagues, and community sometimes."
"","","","","","impacts students ability to fully engage in classes and learn"
"","","","","","Food or housing insecurity can lead to more energy spent on addressing the insecurities and the related issues, reducing work efficiency."
"","","","","","It isn't at the moment. "
"How is food or housing insecurity affecting your work?","New Mexico Institute of Mining and Technology","36","10","9","Make me miss or skip classes."
"","","","","","At the moment, it is not impacting my work."
"","","","","","Not at the moment. "
"","","","","","it's not"
