ID,text,label,score
3,offer access to other services like helping students sign up for snap and the health insurance exchange.,POSITIVE,0.9953849911689758
7,"community gardens, smaller food pantries distributed across campus",POSITIVE,0.9964052438735962
12,iâ€™m not too sure,NEGATIVE,0.9992735981941223
17,the institution could treat food and housing security as part of their responsibility to their students.,NEGATIVE,0.7157546877861023
45,"i do not know. i wish i had the answers, but without money and resources, i really donâ€™t know.",NEGATIVE,0.996465802192688
88,"campus food pantry, and other support services (an emergency fund for students, help with taxes and applying for various benefits programs, etc.)",POSITIVE,0.7311679124832153
91,food drives,POSITIVE,0.9986429810523987
93,for me personally... hire me full-time.,NEGATIVE,0.755135715007782
97,provide more opportunities for students to learn more about programs to help with food and housing insecurity.,POSITIVE,0.9946081638336182
103,facilitate access to resources pertaining to food and housing.,POSITIVE,0.9997047781944275
108,the food pantry and cosmo cares is good assistance.,POSITIVE,0.9961254000663757
109,unsure,NEGATIVE,0.9981935620307922
115,just continue to address the problem.  try to reach more students in need.,NEGATIVE,0.9985602498054504
134,i think even people how work here on campus need help with food.,NEGATIVE,0.9955933690071106
141,"the food pantries are very helpful. i think it would be good to have cheaper housing options for community college students, and also better, affordable food options on community college campuses.",POSITIVE,0.9915056824684143
150,make it affordable for students,POSITIVE,0.9996572732925415
152,raise pay,POSITIVE,0.9942973256111145
154,"our campus has a food bank, student housing, public transport to campus and good staff who work hard to assist students with any hardships.  i don't have a solution.",NEGATIVE,0.9956532716751099
163,promote it more,POSITIVE,0.9997913241386414
164,make it clear whether or not the food pantry is open to faculty/staff.,NEGATIVE,0.9912410378456116
176,higher wages,POSITIVE,0.9888062477111816
178,una despensa de alimentos y vivienda de bajo costo para quienes lo necesitan por 6 messes o 1 aã±o academico,NEGATIVE,0.9958836436271667
184,"the first thing would be giving tpts multi-year contracts with full, year-round benefits. if that happens, i would feel able to lease an apartment in albuquerque. i think that single move by the university would significantly improve many other co-factors. another obvious change would be to increase pay. however, i want to be clear that just increasing pay does not solve all the other myriad difficulties of working as a tpt and if i had to choose between a small increase in pay or multi-year contracts with full year-round benefits, i'd choose the contracts over the pay.",NEGATIVE,0.9980826377868652
211,"increase the work-study wage and hour limits offered to students enrolled in work study programs, offer better wages for part-time and full-time staff and faculty employees. increase the housing dormitory opportunities to include students, staff, and faculty members who are married and/or have children and pets.",POSITIVE,0.9915263056755066
216,"cafe are re-opening for students, staff and faculty with balanced meals.",POSITIVE,0.9977473616600037
217,"pay a fair livable wage. i don't want to need a pantry. i am an educated professional, i should be able to live comfortably with myself and my children. pay fair wages, period.",POSITIVE,0.9839887022972107
228,"i'm not convinced universities are the place for solutions. i think other, holistic support provides by experts would be more useful. and, fixing the systemic issues underlying poverty and food insecurity.",NEGATIVE,0.9960780739784241
242,"cooking classes, budget classes (community based)",POSITIVE,0.9188647866249084
243,na,N/A,0.0
252,"free tuition, fees, and books (state supported)",POSITIVE,0.9812219738960266
257,we are in the works of addressing it,POSITIVE,0.9969057440757751
266,more advertisement on the campus food pantry and the options available at the apartments,NEGATIVE,0.9939908385276794
285,provide an anonymous  food pantry or vouchers available to everyone not just select groups,NEGATIVE,0.8813334107398987
286,"today is our grand opening for daccâ€™s comfort casita food pantry, we hope this will help all students with food insecurities.",POSITIVE,0.997289776802063
298,pay higher hourly wages to make ends meet.,NEGATIVE,0.983784556388855
313,"i think if they do have a food bank making it be more known. since i am an online student, i do not know everything the campus has to offer",NEGATIVE,0.9993547797203064
318,in this campus there are caring staff that are always ready to give a helping hand when students or staff have food needs.,POSITIVE,0.998001754283905
330,work more with students to access food pantry. open a cafe or cafeteria,NEGATIVE,0.8819449543952942
334,give full time faculty meal passes during the semester,N/A,0.5396489500999451
342,my college is currently opening a food pantry at our other location and a small pantry at this location. i believe it is going to help many students and hopefully staff as well.,POSITIVE,0.9993280172348022
356,provide more healthy options in the vending machines.,POSITIVE,0.9938124418258667
363,partner with grocery stores and companies like pepsi who can donate food and beverages and receive tax write offs to offset the donation.,NEGATIVE,0.9065051078796387
367,compensation for all jobs needs to be reevaluated. benefits cost for medical needs to be reevaluated regarding the 20/30/40 percent requirement.,NEGATIVE,0.9842936396598816
