ID,text,label,score
3,mostly fast foods offered with limited options,NEGATIVE,0.9468232989311218
7,i usually bring my own food or eat off of campus. however i appreciate the coffee shop and the dions at our student union when i eat on campus.,POSITIVE,0.9981256127357483
12,it is easy access to,POSITIVE,0.999581515789032
45,the cost of purchasing any meal in any eatery is above my budget.,NEGATIVE,0.8988454341888428
73,it is expensive,NEGATIVE,0.9965954422950745
88,i wish there were more options.,NEGATIVE,0.9988988637924194
93,"bad, but more the fault of the campus shape.  main cnm is... spaced out.",NEGATIVE,0.9997319579124451
95,needs a wider variety,NEGATIVE,0.9346784353256226
96,"there is not a salad bar, mostly greasy food",NEGATIVE,0.984052300453186
97,it is very limited,NEGATIVE,0.9989008903503418
99,i wish there were more cheap and healthy options available and less fast food.,NEGATIVE,0.9996199607849121
103,wish there was more variety,NEGATIVE,0.9975614547729492
108,"if you don't eat the food in the cafeteria, there is only vending machines.  need a health snack option on campus that is not a coffee wagon",NEGATIVE,0.9977689981460571
111,our students are suffering,NEGATIVE,0.9982561469078064
115,it is a great idea as long as the students can afford it.,POSITIVE,0.9981127977371216
134,that will be great for me and people that can't pay for food.,POSITIVE,0.9998342990875244
141,"there arenâ€™t many options at at dacc east mesa campus. thereâ€™s a snack bar which has some relatively healthy items, but thatâ€™s it.",NEGATIVE,0.8654661178588867
150,no enough,NEGATIVE,0.9950178265571594
152,food pantry is great. food served in cafeteria is over priced and sometimes not cooked properly.,POSITIVE,0.9800845980644226
154,good avai,POSITIVE,0.9998406171798706
163,a little expensive for cafeteria,NEGATIVE,0.9935733675956726
164,it is very limited,NEGATIVE,0.9989008903503418
176,high overly priced food charges,NEGATIVE,0.9913109540939331
178,en mi plantel no hay cafeteria solo maquinas de snacks y bebidas,NEGATIVE,0.9649094343185425
184,"i appreciate the options that are available, but it could be much better.",POSITIVE,0.750613808631897
190,the food is not appealing/bland,NEGATIVE,0.9998012185096741
211,"the cost of food from the cafeteria is more than i can realistically afford, so i often choose to go without",NEGATIVE,0.9923967719078064
217,it's too expensive. we have $10 burritos and not enough healthy affordable options. virtually no sugar-free options.,NEGATIVE,0.9996820688247681
228,"it's horrendous. we used to have a cafeteria but it was closed during the pandemic. now, all food comes from vending machines and there are few inexpensive and/or healthy options.",NEGATIVE,0.9937009811401367
242,great opportunity for students that need it,POSITIVE,0.9998658895492554
243,not enough healthy options,NEGATIVE,0.9993971586227417
252,we need a food pantry,NEGATIVE,0.9988769888877869
257,we have really begun to ramp up efforts of a food pantry due to a recent grant we recieved,POSITIVE,0.9464665651321411
261,i think it is readily available to students to purchase and the food banks are very helpful to provide food for students who canâ€™t afford it on a monthly basis,POSITIVE,0.9953963160514832
276,i wish there were more options for healthy food and not chains. since we lost the coop near the bookstore there are few places to get healthy food on campus.,NEGATIVE,0.9991717338562012
285,its a desert,NEGATIVE,0.9804373383522034
286,"we can really use a food court, or something similar. lots of students on campus get dropped off and hang out for hours until their next class, and usually only have snacks, not a good meal.",POSITIVE,0.9991742968559265
296,so good,POSITIVE,0.999841570854187
298,"we do not have a cafeteria or snack bar at dacc in sunland park, gadsden or chaparral campuses.",NEGATIVE,0.9990062117576599
313,i do not go to campus since my course is online,NEGATIVE,0.9986101388931274
318,on my campus sunland park i wish there was a cafeteria or snack bar then just bending machines,NEGATIVE,0.9993361830711365
330,our campus needs a cafe or food service option to obtain meals for students,NEGATIVE,0.9980862140655518
333,it is horrible.. would never eat there unless forced to.,NEGATIVE,0.9982404708862305
334,there are not enough options and prices are outrageous,NEGATIVE,0.9651014804840088
342,"it is not bad, but it could be better.",NEGATIVE,0.9473706483840942
346,it is starting to become adequate due to several grants the college has received.,POSITIVE,0.9981081485748291
355,i think itâ€™s good to have a cafeteria for student to eat at,POSITIVE,0.9698657989501953
356,lacking. there are only vending machines.,NEGATIVE,0.9995383024215698
363,the structure and polices need to be created to utilize the kitchen we have on campus. it is not financially sustainable to pay the position needed to cover a cafã© due to a lack of foot traffic and the food costs.,NEGATIVE,0.999627947807312
367,very limited options at espina campus for food options.,NEGATIVE,0.9985021352767944
373,"dacc is opening it's food pantry today, wednesday, february 15, 2023",POSITIVE,0.9762790203094482
377,the selection is not varied and it is super expensive,NEGATIVE,0.9970544576644897
378,no hay tal servicio,NEGATIVE,0.9941656589508057
379,our food availability depends on uncertain hours of operation and if i have any extra money to afford it.,NEGATIVE,0.9996007084846497
380,"i wish there was some place to eat, and that there was more food in the food pantry.",NEGATIVE,0.9996009469032288
388,i think it is great,POSITIVE,0.9998716115951538
390,food is available and healthy,POSITIVE,0.9998618364334106
392,it'd be nice if there was more of a grocery store -- i miss the la montanita co-op,NEGATIVE,0.9995864033699036
397,there is no food on campus,NEGATIVE,0.999645471572876
398,no experience yet,NEGATIVE,0.9956413507461548
399,the only options right now would be from the bookstore or vending machines.,NEGATIVE,0.9986575841903687
400,la posada provides a huge selection for a fair price. there are plenty of fast food options in the sub.,POSITIVE,0.9984251260757446
403,very expensive,NEGATIVE,0.9652378559112549
404,delicious and healthy.,POSITIVE,0.9998741149902344
406,dona ana community college only has a snack bar and there's not much in there besides chips and drinks. on certain days there are certain foods from fast food places but it's not the same every day,NEGATIVE,0.9975088834762573
408,there is none,NEGATIVE,0.9840419292449951
410,i enjoy the granola bars and fruit. i do wish there were healthier beverages though besides gatorade.,NEGATIVE,0.9590873718261719
411,"it is terrible. we do not have a food option currently on campus. when we did, the food was not healthy and was expensive, more than $11/meal.",NEGATIVE,0.9995604157447815
412,"there is only one snack bar, but the only healthy option i know of is a salad. the culinary program sometimes offers meals, not sure they're considered ""healthy"".",NEGATIVE,0.9912319779396057
413,"food pantry just started, i am sure they will have more food selections in the near future.",NEGATIVE,0.606227457523346
417,right now we don't have any place to get food except vending machines or bookstore,NEGATIVE,0.999233603477478
425,"could be a little better, but they are working on programs for it",NEGATIVE,0.9864774942398071
445,the food available at the campus is not healthy food. all of it is fast food and/or processed food. it is worse than the food served in nm public schools.,NEGATIVE,0.9997206330299377
446,at cnm there is not healthy food options.,NEGATIVE,0.9996613264083862
455,"so important, especially to students, where so many suffer food insecurity. the cost is minimal as it should be.",N/A,0.5050333738327026
458,largely fast food,POSITIVE,0.9980048537254333
