ID,text,label,score
3,no,N/A,0.0
12,not at the moment,NEGATIVE,0.9780732989311218
91,no,N/A,0.0
108,not at this time.,NEGATIVE,0.991154134273529
109,no,N/A,0.0
115,not at this time.,NEGATIVE,0.991154134273529
163,no,N/A,0.0
184,"in one of the text boxes i explained this but i want to share it here so it is obvious. i'm temporary part-time faculty but i'm working over ""full-time"". i work more than a full-time employee (depending on the semester). this semester i'm 108% employed. despite this insane amount of work, i make very little, worry about saving for retirement, don't have any job security, don't have reliable benefits, and feel my only option to make this work is to live with my parents and eat their food.",NEGATIVE,0.9920749664306641
228,"the only reason i am not hard hit by these issues is my spouse's income. if i had to live on my income alone, by myself, i would have some of these issues. the pay in academia reflects our national lack of care towards education.",NEGATIVE,0.9960839748382568
243,na,N/A,0.0
257,bring back the p-ebt for those receiving free lunches at school. working families make too much to qualify for snap but the p-ebt no matter how much was a huge help,POSITIVE,0.9960799813270569
285,"nm has poor economic opportunities and low low wages, there is extreme and obvious gender differences in wages e.g. my supervisor makes over 200,000. annually i make 60k even the office staff make more than i do these inequities in pay based on nepotism and favoritism vs merit and experience are ubiquitous throughout nm and the housing situation here is full of inequities, housing unavailable and landlords get away with unbelievable abuses plus airbnb makes it impossible to find housing nm does not give a damn about the ordinary person or we would not be worst in the entire nation for child welfare and child education.",NEGATIVE,0.9985902905464172
313,nothing at this time,NEGATIVE,0.9967799782752991
318,in most campus all staff are helping and give a familiar family setting that helps students and staff get the help they need.,POSITIVE,0.9996199607849121
330,no,N/A,0.0
333,no,N/A,0.0
342,no,N/A,0.0
378,aquã­ solo los estudiantes tienen acceso a l banco de comida,POSITIVE,0.6031281352043152
380,i would hope new mexico's government will consider help provide equitable resources to low income and rural areas. we are often neglected; food and housing insecurity leads to higher rates of dropouts and class failures.,POSITIVE,0.9977559447288513
391,na,N/A,0.0
397,no,N/A,0.0
400,it's disgusting that one of the richest countries in the world has students trying to get a good education and going hungry.,POSITIVE,0.9986346364021301
406,ni,POSITIVE,0.9201035499572754
410,i am amazed and impressed with dacc's attention and care of the basic daily needs of students and the amount of resources available to help them succeed beyond just education.,POSITIVE,0.999853253364563
411,"i do not think a college can be everything, but there is a lot of support for students. faculty and staff are struggling to make ends meet because we never truly get a raise. anytime we get a little more, it gets taken away by an increase in the cost of a ""benefit"" and the net affect is that we make less and less. the demands of work are more and more outside the classroom, as we are asked to do more and more in addition to just teaching our classes. this means that we have less time to focus on preparing classes and are working harder for even less.",NEGATIVE,0.9142379760742188
412,no thank you,N/A,0.0
445,"our campus also needs a mental health center for students who are dealing with trauma, stress, etc. we have too many students who are struggling without any support. and referring them to a community clinic or unm main campus is not as effective as having a mental health clinic on-campus.",POSITIVE,0.9997867941856384
455,no,N/A,0.0
459,"at this particular juncture, our college is looking at a closure.  beyond this survey, we need assistance to stay open in order to provide students with the quality education they have come here to receive, and to help provide stability to our community.",POSITIVE,0.8441952466964722
496,na,N/A,0.0
503,no,N/A,0.0
522,"this survey is useless and pointless because those asking for this information are not going to do anything such as: pay a livable wage, offer affordable insurance to their employees; why are we wasting our time for a $40 gift certificate that wont even cover $40 worth food, $40 on a bill payment or is just going to help with a one time payment of gas. waste of time this survey was.",NEGATIVE,0.9998069405555725
543,it would be nice to have a transportation system for the students,NEGATIVE,0.6003995537757874
562,no,N/A,0.0
577,whatis the point? under new management unm no principles and is a way to make money if you are an administrator with no principles,NEGATIVE,0.9976547956466675
589,i appreciate the people such as yourselves who are trying to make a difference in the lives of students and faculty in this state.,POSITIVE,0.9997664093971252
608,the cost of living has grossly outpaced salaries,NEGATIVE,0.9962617754936218
663,the campus has many free food activities and i greatly appreciate that.,POSITIVE,0.9998138546943665
685,offering health insurance to all employees. worrying about receiving any healthcare means going into more debt because bills are beyond affordable and housing and food are more important.,NEGATIVE,0.9895268678665161
693,it's hard trying to make ends meet with a low salary and high costs of living. i fall into the category that makes about 200.00 above the annual allotment. so i don't make enough to cover everything and i don't make enough to qualify for help.,NEGATIVE,0.9985796213150024
